Topic,Count,Name,Representation,Representative_Docs
-1,81,-1_great_amazing_issues_perfectly,"['great', 'amazing', 'issues', 'perfectly', 'fixed', 'perfect', 'fantastic', 'works', 'update', 'love']","['The new update is fantastic. Any plans to add custom reports? That would make it perfect.', 'The new update is fantastic. Any plans to add custom reports? That would make it perfect.', 'The new update is fantastic. Any plans to add custom reports? That would make it perfect.']"
0,156,0_delivery_arrived_same_ordered,"['delivery', 'arrived', 'same', 'ordered', '', '', '', '', '', '']","['Love that you now offer same-day delivery in my area. Just ordered and it arrived in 3 hours!', 'Love that you now offer same-day delivery in my area. Just ordered and it arrived in 3 hours!', 'Love that you now offer same-day delivery in my area. Just ordered and it arrived in 3 hours!']"
1,139,1_great_thanks_billing_service,"['great', 'thanks', 'billing', 'service', 'issue', 'so', 'just', '', '', '']","['Just wanted to say thanks for sorting out my billing issue so quickly. Great service!', 'Just wanted to say thanks for sorting out my billing issue so quickly. Great service!', 'Just wanted to say thanks for sorting out my billing issue so quickly. Great service!']"
2,126,2_arrived_shipping_package_wrapped,"['arrived', 'shipping', 'package', 'wrapped', 'perfectly', 'day', 'everything', 'was', 'impressed', 'early']","['Package arrived a day early! Everything was perfectly wrapped. Impressed with the shipping.', 'Package arrived a day early! Everything was perfectly wrapped. Impressed with the shipping.', 'Package arrived a day early! Everything was perfectly wrapped. Impressed with the shipping.']"
3,126,3_free_shipping_thank_upgrade,"['free', 'shipping', 'thank', 'upgrade', 'order', 'nice', 'on', 'you', 'hi', '']","['Thank you for the free shipping upgrade on my last order. That was a nice surprise.', 'Thank you for the free shipping upgrade on my last order. That was a nice surprise.', 'Thank you for the free shipping upgrade on my last order. That was a nice surprise.']"
4,123,4_appreciate_order_fast_753809,"['appreciate', 'order', 'fast', '753809', 'teh', '405765', '358543', 'perfectly', 'turnaround', 'came']","['The refund for order #373950 came through perfectly. Appreciate the fast turnaround.', 'The refund for order #236944 came through perfectly. Appreciate the fast turnaround.', 'The refund for order #964619 came through perfectly. Appreciate the fast turnaround.']"
5,117,5_upgrade_thanks_new_smoother,"['upgrade', 'thanks', 'new', 'smoother', 'much', 'ok', '', '', '', '']","['The new login process with biometrics is so much smoother. Thanks for the upgrade!', 'The new login process with biometrics is so much smoother. Thanks for the upgrade!', 'The new login process with biometrics is so much smoother. Thanks for the upgrade!']"
6,111,6_download_new_billing_invoice,"['download', 'new', 'billing', 'invoice', 'your', 'hey', 'feature', 'hi', 'teh', '']","['Your new billing dashboard is really easy to use. Love the invoice download feature.', 'Your new billing dashboard is really easy to use. Love the invoice download feature.', 'Your new billing dashboard is really easy to use. Love the invoice download feature.']"
7,103,7_new_works_been_tablet,"['new', 'works', 'been', 'tablet', 'months', 'hi', 'daily', 'and', 'my', 'smartwatch']","['Been using my speaker daily for 8 months and it still works like new.', 'Been using my speaker daily for 1 months and it still works like new.', 'Been using my speaker daily for 2 months and it still works like new.']"
8,101,8_excellent_helped__,"['excellent', 'helped', '', '', '', '', '', '', '', '']","['Support helped me recover my account within minutes. Excellent response time.', 'Support helped me recover my account within minutes. Excellent response time.', 'Support helped me recover my account within minutes. Excellent response time.']"
9,95,9_latest_quality_versions_hey,"['latest', 'quality', 'versions', 'hey', 'build', 'good', 'job', 'better', 'noticeably', 'hi']","['Build quality on the latest model is noticeably better than previous versions. Good job!', 'Build quality on the latest model is noticeably better than previous versions. Good job!', 'Build quality on the latest model is noticeably better than previous versions. Good job!']"
10,91,10_great_amazing_fantastic_perfect,"['great', 'amazing', 'fantastic', 'perfect', 'export', 'hey', 'you', '', '', '']","['The new update is fantastic. Any plans to add bulk export? That would make it perfect.', 'The new update is fantastic. Any plans to add bulk export? That would make it perfect.', 'The new update is fantastic. Any plans to add bulk export? That would make it perfect.']"
11,81,11_smartwatch_issues_new_perfectly,"['smartwatch', 'issues', 'new', 'perfectly', 'works', 'fixed', 'update', 'camera', 'hi', 'tablet']","['The new laptop update fixed all the issues I was having. Works perfectly now!', 'The new laptop update fixed all the issues I was having. Works perfectly now!', 'The new laptop update fixed all the issues I was having. Works perfectly now!']"
12,54,12_thanks_cancelling_switching_issues,"['thanks', 'cancelling', 'switching', 'issues', '', '', '', '', '', '']","['Cancelling because I am switching workflows, not because of any issues. Thanks for everything!', 'Cancelling because I am switching workflows, not because of any issues. Thanks for everything!', 'Cancelling because I am switching workflows, not because of any issues. Thanks for everything!']"
13,50,13_great_amazing_mobile_update,"['great', 'amazing', 'mobile', 'update', 'fantastic', 'perfect', 'new', 'for', 'adding', 'users']","['It would be great if you could add API access. Would make the product even better!', 'It would be great if you could add API access. Would make the product even better!', 'It would be great if you could add API access. Would make the product even better!']"
14,48,14_great_been_hey_now,"['great', 'been', 'hey', 'now', 'ok', 'your', 'need', '', '', '']","['I need to cancel for now but your team has been great. I will be back when budget allows.', 'I need to cancel for now but your team has been great. I will be back when budget allows.', 'I need to cancel for now but your team has been great. I will be back when budget allows.']"
15,34,15_update_great_amazing_fantastic,"['update', 'great', 'amazing', 'fantastic', 'perfect', 'you', 'adding', 'add', 'for', 'users']","['The new update is fantastic. Any plans to add version history? That would make it perfect.', 'The new update is fantastic. Any plans to add version history? That would make it perfect.', 'The new update is fantastic. Any plans to add version history? That would make it perfect.']"
16,31,16_calendar_great_amazing_new,"['calendar', 'great', 'amazing', 'new', 'fantastic', 'perfect', 'update', 'better', 'suggestion', 'plans']","['Love the product! One suggestion: adding calendar integration would be amazing for power users.', 'Love the product! One suggestion: adding calendar integration would be amazing for power users.', 'Love the product! One suggestion: adding calendar integration would be amazing for power users.']"
17,27,17_great_amazing_fantastic_suggestion,"['great', 'amazing', 'fantastic', 'suggestion', 'update', 'new', 'better', 'power', 'perfect', 'plans']","['Love the product! One suggestion: adding team sharing would be amazing for power users.', 'Love the product! One suggestion: adding team sharing would be amazing for power users.', 'Love the product! One suggestion: adding team sharing would be amazing for power users.']"
18,27,18_new_great_amazing_fantastic,"['new', 'great', 'amazing', 'fantastic', 'suggestion', 'update', 'users', 'power', 'better', 'product']","['It would be great if you could add dark mode. Would make the product even better!', 'It would be great if you could add dark mode. Would make the product even better!', 'It would be great if you could add dark mode. Would make the product even better!']"
19,25,19_suggestion_amazing_offline_adding,"['suggestion', 'amazing', 'offline', 'adding', 'product', 'save', 'users', 'teh', 'mode', 'for']","['Love the product! One suggestion: adding offline mode would be amazing for power users.', 'Love the product! One suggestion: adding offline mode would be amazing for power users.', 'Love the product! One suggestion: adding offline mode would be amazing for power users.']"
